"DIRECTORIO" "SECUENCIA_P" "HOGAR" "departamento" "hogar_urbano" "size" "n_mujeres" "n_menores" "seguridad_social" "no_acceso_medico" "n_analfabeto" "escolaridad_max" "escolaridad_min" "escolaridad_median" "ingreso_laboral" "valor_casa"
5033103 1 1 54 1 4 3 2 1 0 3 11 0 2.5 150000 NA
4806278 1 1 27 1 3 3 0 1 0 3 16 12 16 0 NA
4944112 1 1 70 1 3 1 1 1 0 3 10 5 5 700000 5e+08
4989383 1 1 27 1 6 4 1 0.833333333333333 0 5 16 0 14.5 2500000 1.6e+08
4959466 1 1 68 1 2 1 1 1 0 2 2 2 2 500000 5e+07
5080465 1 1 5 1 1 0 0 1 0 1 11 11 11 1400000 NA
5081813 1 1 19 1 8 4 1 1 0 8 13 3 5 400000 NA
4857262 1 1 47 1 3 2 1 1 0 3 14 11 11 0 NA
5037556 1 1 54 1 5 4 2 1 0 5 13 3 6 1800000 NA
5006852 1 1 17 1 2 1 0 1 0 2 9 5 7 400000 NA
4975193 1 1 8 1 4 2 2 1 0 3 11 0 5.5 1089000 NA
4900013 1 1 5 1 5 3 2 0 0 5 11 1 9 1200000 NA
5035837 1 1 11 1 2 1 0 1 0 2 16 16 16 4000000 NA
5092506 1 1 47 1 1 1 0 1 0 1 8 8 8 0 NA
5046298 1 1 18 1 3 2 1 1 0 3 16 10 11 4800000 1.5e+08
4862596 1 1 18 1 1 0 0 1 0 1 5 5 5 200000 2e+07
5078406 1 1 41 1 3 3 2 1 0 NA 12 0 0 1500000 NA
4810800 1 1 11 1 6 3 1 0.833333333333333 0 5 11 0 11 4400000 NA
4931864 1 1 54 1 4 2 1 0.75 0 3 16 0 9 1100000 NA
5017384 1 1 15 1 5 2 3 1 1 4 13 0 7 700000 NA
5009389 2 2 68 1 1 0 0 0 0 1 11 11 11 940000 NA
4805122 1 1 11 1 5 3 0 1 0 5 11 0 5 1181242 1.3e+08
4927651 1 1 50 1 1 0 0 1 0 1 8 8 8 900000 NA
4972397 1 1 76 1 3 2 1 1 0 3 11 6 11 1790000 5e+07
4882516 1 1 66 1 3 1 0 1 0 3 16 11 14 4500000 2e+08
5050716 1 1 68 1 2 1 0 1 0 2 18 11 14.5 8750000 4e+06
4873782 1 1 17 1 2 2 1 0.5 0 1 15 0 7.5 0 NA
5009917 1 1 76 1 4 3 0 1 0 4 18 11 16 5100000 NA
4986114 1 1 54 1 6 3 2 1 0 6 11 9 10 300000 NA
5052053 1 1 18 1 2 1 0 1 0 2 16 16 16 3600000 9e+07
4875389 1 1 50 0 1 0 0 1 0 1 5 5 5 1300000 NA
4855968 1 1 18 1 4 1 0 1 0 4 14 8 10 1300000 NA
4957450 1 1 66 1 2 1 0 1 0 2 7 2 4.5 300000 NA
4805797 1 1 19 1 5 3 2 0.8 1 5 16 1 12 1000000 2e+08
4930422 1 1 18 1 1 0 0 1 0 0 0 0 0 0 NA
5016692 1 1 52 1 4 2 1 1 0 4 11 4 6 820000 NA
4827036 1 1 20 1 5 2 0 0.8 0 5 16 13 14 10180000 3.7e+08
4980364 1 1 41 1 3 2 2 1 0 3 7 3 6 600000 NA
4823088 1 1 70 1 1 0 0 1 0 1 5 5 5 300000 NA
5032800 1 1 50 1 4 3 1 0 0 4 12 6 11 3000000 NA
5068557 1 1 47 1 3 2 1 1 0 2 11 0 11 800000 NA
